player,runs,balls,fours,sixes,outs,format,average,strike_rate,boundary_runs,boundary_percent,balls_per_boundary
V Kohli,9346,7127,847,317,229,IPL,40.81,131.14,5290,56.6,6.12
RG Sharma,7331,5659,661,324,244,IPL,30.05,129.55,4588,62.58,5.75
S Dhawan,6769,5483,768,153,187,IPL,36.2,123.45,3990,58.95,5.95
DA Warner,6567,4849,663,236,158,IPL,41.56,135.43,4068,61.95,5.39
KL Rahul,5828,4302,509,239,125,IPL,46.62,135.47,3470,59.54,5.75
SK Raina,5536,4177,506,204,162,IPL,34.17,132.54,3248,58.67,5.88
MS Dhoni,5439,4101,375,264,139,IPL,39.13,132.63,3084,56.7,6.42
AM Rahane,5367,4391,540,141,172,IPL,31.2,122.23,3006,56.01,6.45
SV Samson,5181,3770,432,243,159,IPL,32.58,137.43,3186,61.49,5.59
AB de Villiers,5181,3487,414,253,122,IPL,42.47,148.58,3174,61.26,5.23
CH Gayle,4997,3516,408,359,125,IPL,39.98,142.12,3786,75.77,4.58
RV Uthappa,4954,3927,481,182,175,IPL,28.31,126.15,3016,60.88,5.92
KD Karthik,4843,3687,466,161,175,IPL,27.67,131.35,2830,58.43,5.88
F du Plessis,4773,3605,440,174,128,IPL,37.29,132.4,2804,58.75,5.87
JC Buttler,4647,3208,459,211,115,IPL,40.41,144.86,3102,66.75,4.79
Shubman Gill,4598,3339,446,152,111,IPL,41.42,137.71,2696,58.63,5.58
SA Yadav,4581,3154,482,178,133,IPL,34.44,145.24,2996,65.4,4.78
AT Rayudu,4348,3490,359,173,148,IPL,29.38,124.58,2474,56.9,6.56
SS Iyer,4233,3211,354,182,118,IPL,35.87,131.83,2508,59.25,5.99
G Gambhir,4217,3524,492,59,128,IPL,32.95,119.67,2322,55.06,6.4
MK Pandey,4021,3406,348,118,135,IPL,29.79,118.06,2100,52.23,7.31
SR Watson,3880,2892,377,190,124,IPL,31.29,134.16,2648,68.25,5.1
RR Pant,3879,2739,351,181,111,IPL,34.95,141.62,2490,64.19,5.15
Ishan Kishan,3600,2579,348,166,115,IPL,31.3,139.59,2388,66.33,5.02
RA Jadeja,3526,2816,264,122,119,IPL,29.63,125.21,1788,50.71,7.3
Q de Kock,3444,2618,334,143,108,IPL,31.89,131.55,2194,63.7,5.49
KA Pollard,3437,2447,221,224,120,IPL,28.64,140.46,2228,64.82,5.5
DA Miller,3288,2441,235,152,90,IPL,36.53,134.7,1852,56.33,6.31
YK Pathan,3222,2334,263,161,105,IPL,30.69,138.05,2018,62.63,5.5
N Rana,3078,2314,288,151,111,IPL,27.73,133.02,2058,66.86,5.27
HH Pandya,2964,2116,228,157,104,IPL,28.5,140.08,1854,62.55,5.5
WP Saha,2934,2368,296,87,118,IPL,24.86,123.9,1706,58.15,6.18
BB McCullum,2882,2272,293,130,102,IPL,28.25,126.85,1952,67.73,5.37
PA Patel,2848,2442,365,49,121,IPL,23.54,116.63,1754,61.59,5.9
RD Gaikwad,2839,2154,260,107,72,IPL,39.43,131.8,1682,59.25,5.87
GJ Maxwell,2820,1896,238,161,114,IPL,24.74,148.73,1918,68.01,4.75
MA Agarwal,2764,2146,275,100,117,IPL,23.62,128.8,1700,61.51,5.72
Yuvraj Singh,2754,2207,218,149,107,IPL,25.74,124.78,1766,64.12,6.01
