player,runs,balls,fours,sixes,outs,format,average,strike_rate,boundary_runs,boundary_percent,balls_per_boundary
Babar Azam,4545,3650,473,80,114,T20I,39.87,124.52,2372,52.19,6.6
RG Sharma,4042,2949,364,196,129,T20I,31.33,137.06,2632,65.12,5.27
JC Buttler,3999,2781,367,175,113,T20I,35.39,143.8,2518,62.97,5.13
V Kohli,3969,3007,349,115,81,T20I,49.0,131.99,2086,52.56,6.48
MJ Guptill,3517,2673,307,173,108,T20I,32.56,131.58,2266,64.43,5.57
Mohammad Rizwan,3386,2766,284,94,66,T20I,51.3,122.42,1700,50.21,7.32
DA Warner,3254,2361,333,122,96,T20I,33.9,137.82,2064,63.43,5.19
SA Yadav,3220,2052,293,175,86,T20I,37.44,156.92,2222,69.01,4.38
PR Stirling,3160,2427,365,114,118,T20I,26.78,130.2,2144,67.85,5.07
AJ Finch,3120,2265,309,125,89,T20I,35.06,137.75,1986,63.65,5.22
Virandeep Singh,3034,2508,270,117,86,T20I,35.28,120.97,1782,58.73,6.48
Q de Kock,2986,2181,301,128,95,T20I,31.43,136.91,1972,66.04,5.08
GJ Maxwell,2785,1885,231,145,97,T20I,28.71,147.75,1794,64.42,5.01
DA Miller,2778,2034,182,140,81,T20I,34.3,136.58,1568,56.44,6.32
Waseem Muhammad,2682,1850,225,153,78,T20I,34.38,144.97,1818,67.79,4.89
Sikandar Raza,2630,1980,199,132,96,T20I,27.4,132.83,1588,60.38,5.98
Syed Aziz,2590,2026,223,135,92,T20I,28.15,127.84,1702,65.71,5.66
P Nissanka,2557,2076,256,75,81,T20I,31.57,123.17,1474,57.65,6.27
KS Williamson,2537,2072,242,59,74,T20I,34.28,122.44,1322,52.11,6.88
BKG Mendis,2510,2000,220,97,92,T20I,27.28,125.5,1462,58.25,6.31
HG Munsey,2508,1826,264,115,75,T20I,33.44,137.35,1746,69.62,4.82
RR Hendricks,2475,1962,265,69,85,T20I,29.12,126.15,1474,59.56,5.87
Liton Das,2467,1976,242,78,103,T20I,23.95,124.85,1436,58.21,6.18
Karanbir Singh,2454,1531,199,204,44,T20I,55.77,160.29,2020,82.31,3.8
EJG Morgan,2443,1838,185,120,80,T20I,30.54,132.92,1460,59.76,6.03
Mohammad Hafeez,2437,2039,246,74,90,T20I,27.08,119.52,1428,58.6,6.37
Babar Hayat,2415,1899,149,148,83,T20I,29.1,127.17,1484,61.45,6.39
Shoaib Malik,2392,1940,194,68,73,T20I,32.77,123.3,1184,49.5,7.4
Nizakat Khan,2388,2012,200,80,104,T20I,22.96,118.69,1280,53.6,7.19
Fakhar Zaman,2387,1839,224,95,95,T20I,25.13,129.8,1466,61.42,5.76
R Powell,2319,1726,141,154,88,T20I,26.35,134.36,1488,64.17,5.85
K Bhurtel,2309,1745,216,112,70,T20I,32.99,132.32,1536,66.52,5.32
Anshuman Rath,2307,1877,233,57,67,T20I,34.43,122.91,1274,55.22,6.47
MDKJ Perera,2307,1803,224,72,88,T20I,26.22,127.95,1328,57.56,6.09
Shakib Al Hasan,2295,1929,234,49,96,T20I,23.91,118.97,1230,53.59,6.82
MP O'Dowd,2256,1919,237,56,76,T20I,29.68,117.56,1284,56.91,6.55
MR Marsh,2256,1655,201,115,67,T20I,33.67,136.31,1494,66.22,5.24
TL Seifert,2228,1567,208,107,72,T20I,30.94,142.18,1474,66.16,4.97
GD Phillips,2226,1594,162,107,70,T20I,31.8,139.65,1290,57.95,5.93
Mahmudullah,2223,1960,166,71,84,T20I,26.46,113.42,1090,49.03,8.27
HH Pandya,2221,1596,161,122,78,T20I,28.47,139.16,1376,61.95,5.64
DS Airee,2183,1588,159,93,61,T20I,35.79,137.47,1194,54.7,6.3
N Pooran,2177,1694,146,141,85,T20I,25.61,128.51,1430,65.69,5.9
KL Rahul,2149,1599,181,96,59,T20I,36.42,134.4,1300,60.49,5.77
