player,team,matches,format,runs,balls_x,fours,sixes,outs,average,strike_rate,boundary_runs,boundary_percent,balls_per_boundary_x,balls_y,runs_conceded,wickets,dot_balls,fours_conceded,sixes_conceded,overs,economy,bowling_average,bowling_strike_rate,dot_ball_percent,boundary_runs_conceded,boundary_percent_conceded,balls_per_boundary_y,role,batting_score,bowling_score,overall_score
SP Narine,Kolkata Knight Riders,201,IPL,1820.0,1178.0,191.0,120.0,98.0,18.57,154.5,1484.0,81.54,3.79,4730.0,5379.0,209.0,1786.0,340.0,206.0,788.3,6.82,25.74,22.63,37.76,2596.0,48.26,8.66,All-Rounder,85.53600000000002,107.052,192.588
RA Jadeja,Gujarat Lions,267,IPL,3526.0,2816.0,264.0,122.0,119.0,29.63,125.21,1788.0,50.71,7.3,4329.0,5525.0,180.0,1342.0,327.0,237.0,721.5,7.66,30.69,24.05,31.0,2730.0,49.41,7.68,All-Rounder,72.078,89.9,161.978
B Kumar,Sunrisers Hyderabad,206,IPL,354.0,392.0,34.0,4.0,35.0,10.11,90.31,160.0,45.2,10.32,4769.0,6045.0,226.0,1897.0,607.0,186.0,794.8,7.61,26.75,21.1,39.78,3544.0,58.63,6.01,Bowler,49.208,110.306,159.514
R Ashwin,Kings XI Punjab,219,IPL,833.0,728.0,64.0,29.0,61.0,13.66,114.42,430.0,51.62,7.83,4868.0,5721.0,187.0,1606.0,334.0,221.0,811.3,7.05,30.59,26.03,32.99,2662.0,46.53,8.77,Bowler,61.556,96.148,157.704
JJ Bumrah,Mumbai Indians,158,IPL,75.0,89.0,6.0,1.0,7.0,10.71,84.27,30.0,40.0,12.71,3792.0,4582.0,190.0,1458.0,405.0,136.0,632.0,7.25,24.12,19.96,38.45,2436.0,53.16,7.01,Bowler,45.992,97.44,143.432
AB de Villiers,Royal Challengers Bangalore,183,IPL,5181.0,3487.0,414.0,253.0,122.0,42.47,148.58,3174.0,61.26,5.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Batter,88.67200000000001,50.0,138.67200000000005
JC Buttler,Mumbai Indians,138,IPL,4647.0,3208.0,459.0,211.0,115.0,40.41,144.86,3102.0,66.75,4.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Batter,87.458,50.0,137.458
KL Rahul,Kings XI Punjab,160,IPL,5828.0,4302.0,509.0,239.0,125.0,46.62,135.47,3470.0,59.54,5.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Batter,84.744,50.0,134.744
YS Chahal,Royal Challengers Bangalore,189,IPL,37.0,89.0,0.0,0.0,6.0,6.17,41.57,0.0,0.0,0.0,4167.0,5501.0,233.0,1319.0,317.0,271.0,694.5,7.92,23.61,17.88,31.65,2894.0,52.61,7.09,Bowler,19.096,109.93,129.026
CH Gayle,Royal Challengers Bangalore,141,IPL,4997.0,3516.0,408.0,359.0,125.0,39.98,142.12,3786.0,75.77,4.58,584.0,755.0,18.0,180.0,49.0,27.0,97.3,7.76,41.94,32.44,30.82,358.0,47.42,7.68,Batter,87.994,24.564000000000004,112.558
SA Yadav,Kolkata Knight Riders,179,IPL,4581.0,3154.0,482.0,178.0,133.0,34.44,145.24,2996.0,65.4,4.78,6.0,8.0,0.0,2.0,1.0,0.0,1.0,8.0,0.0,0.0,33.33,4.0,50.0,6.0,Batter,84.952,16.666,101.618
