player,team,matches,format,runs,balls_x,fours,sixes,outs,average,strike_rate,boundary_runs,boundary_percent,balls_per_boundary_x,balls_y,runs_conceded,wickets,dot_balls,fours_conceded,sixes_conceded,overs,economy,bowling_average,bowling_strike_rate,dot_ball_percent,boundary_runs_conceded,boundary_percent_conceded,balls_per_boundary_y,role,batting_score,bowling_score,overall_score
TG Southee,New Zealand,125,T20I,303.0,224.0,20.0,18.0,26.0,11.65,135.27,188.0,62.05,5.89,2879.0,3822.0,164.0,1060.0,342.0,148.0,479.8,7.97,23.3,17.55,36.82,2256.0,59.03,5.88,Bowler,71.178,83.11400000000002,154.29200000000003
Virandeep Singh,Malaysia,112,T20I,3034.0,2508.0,270.0,117.0,86.0,35.28,120.97,1782.0,58.73,6.48,1749.0,1569.0,111.0,786.0,77.0,50.0,291.5,5.38,14.14,15.76,44.94,608.0,38.75,13.77,All-Rounder,74.24600000000001,76.488,150.734
Shahid Afridi,ICC World XI,114,T20I,1705.0,1125.0,120.0,103.0,94.0,18.14,151.56,1098.0,64.4,5.04,2410.0,2786.0,118.0,840.0,196.0,82.0,401.7,6.94,23.61,20.42,34.85,1276.0,45.8,8.67,All-Rounder,80.75999999999999,69.47,150.23
Ehsan Khan,Hong Kong,106,T20I,376.0,356.0,21.0,15.0,28.0,13.43,105.62,174.0,46.28,9.89,2315.0,2406.0,151.0,1017.0,163.0,81.0,385.8,6.24,15.93,15.33,43.93,1138.0,47.3,9.49,Bowler,56.876000000000005,87.986,144.86200000000002
JC Buttler,England,153,T20I,3999.0,2781.0,367.0,175.0,113.0,35.39,143.8,2518.0,62.97,5.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Batter,84.27000000000001,50.0,134.27
DA Warner,Australia,108,T20I,3254.0,2361.0,333.0,122.0,96.0,33.9,137.82,2064.0,63.43,5.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Batter,81.374,50.0,131.374
AU Rashid,England,144,T20I,163.0,192.0,13.0,1.0,20.0,8.15,84.9,58.0,35.58,13.71,3066.0,3834.0,162.0,1054.0,184.0,203.0,511.0,7.5,23.67,18.93,34.38,1954.0,50.97,7.92,Bowler,44.336,84.176,128.512
SA Yadav,India,110,T20I,3220.0,2052.0,293.0,175.0,86.0,37.44,156.92,2222.0,69.01,4.38,6.0,5.0,2.0,3.0,0.0,0.0,1.0,5.0,2.5,3.0,50.0,0.0,0.0,0.0,Batter,91.546,35.8,127.346
Mustafizur Rahman,Bangladesh,117,T20I,98.0,143.0,4.0,5.0,18.0,5.44,68.53,46.0,46.94,15.89,2667.0,3154.0,150.0,1047.0,270.0,100.0,444.5,7.1,21.03,17.78,39.26,1680.0,53.27,7.21,Bowler,38.976,82.352,121.328
V Kohli,India,118,T20I,3969.0,3007.0,349.0,115.0,81.0,49.0,131.99,2086.0,52.56,6.48,155.0,207.0,4.0,41.0,18.0,4.0,25.8,8.02,51.75,38.75,26.45,96.0,46.38,7.05,Batter,82.90800000000002,16.790000000000003,99.69800000000002
AJ Finch,Australia,103,T20I,3120.0,2265.0,309.0,125.0,89.0,35.06,137.75,1986.0,63.65,5.22,12.0,27.0,0.0,4.0,3.0,2.0,2.0,13.5,0.0,0.0,33.33,24.0,88.89,2.4,Batter,81.854,6.666,88.52
