bowler,balls,runs_conceded,wickets,dot_balls,fours_conceded,sixes_conceded,format,overs,economy,bowling_average,bowling_strike_rate,dot_ball_percent,boundary_runs_conceded,boundary_percent_conceded,balls_per_boundary
YS Chahal,4167,5501,233,1319,317,271,IPL,694.5,7.92,23.61,17.88,31.65,2894,52.61,7.09
B Kumar,4769,6045,226,1897,607,186,IPL,794.8,7.61,26.75,21.1,39.78,3544,58.63,6.01
SP Narine,4730,5379,209,1786,340,206,IPL,788.3,6.82,25.74,22.63,37.76,2596,48.26,8.66
PP Chawla,3895,5179,192,1325,374,222,IPL,649.2,7.98,26.97,20.29,34.02,2828,54.61,6.54
JJ Bumrah,3792,4582,190,1458,405,136,IPL,632.0,7.25,24.12,19.96,38.45,2436,53.16,7.01
R Ashwin,4868,5721,187,1606,334,221,IPL,811.3,7.05,30.59,26.03,32.99,2662,46.53,8.77
DJ Bravo,3296,4436,183,998,349,155,IPL,549.3,8.08,24.24,18.01,30.28,2326,52.43,6.54
RA Jadeja,4329,5525,180,1342,327,237,IPL,721.5,7.66,30.69,24.05,31.0,2730,49.41,7.68
Rashid Khan,3585,4390,179,1257,272,197,IPL,597.5,7.35,24.53,20.03,35.06,2270,51.71,7.64
A Mishra,3444,4193,174,1185,239,184,IPL,574.0,7.3,24.1,19.79,34.41,2060,49.13,8.14
SL Malinga,2974,3486,170,1144,314,86,IPL,495.7,7.03,20.51,17.49,38.47,1772,50.83,7.44
HV Patel,2654,3801,151,807,322,149,IPL,442.3,8.59,25.17,17.58,30.41,2182,57.41,5.63
Sandeep Sharma,3295,4359,151,1205,412,156,IPL,549.2,7.94,28.87,21.82,36.57,2584,59.28,5.8
K Rabada,2395,3447,151,906,317,158,IPL,399.2,8.63,22.83,15.86,37.83,2216,64.29,5.04
Harbhajan Singh,3496,4101,150,1263,296,145,IPL,582.7,7.04,27.34,23.31,36.13,2054,50.09,7.93
Mohammed Shami,3035,4302,145,1166,445,165,IPL,505.8,8.51,29.67,20.93,38.42,2770,64.39,4.98
TA Boult,2892,3994,145,1135,441,139,IPL,482.0,8.29,27.54,19.94,39.25,2598,65.05,4.99
UT Yadav,3190,4442,144,1186,473,151,IPL,531.7,8.35,30.85,22.15,37.18,2798,62.99,5.11
AR Patel,3639,4503,139,1167,281,190,IPL,606.5,7.42,32.4,26.18,32.07,2264,50.28,7.73
MM Sharma,2471,3537,134,813,342,131,IPL,411.8,8.59,26.4,18.44,32.9,2154,60.9,5.22
Mohammed Siraj,2834,4004,128,1111,400,173,IPL,472.3,8.48,31.28,22.14,39.2,2638,65.88,4.95
AD Russell,1885,2909,123,612,274,130,IPL,314.2,9.26,23.65,15.33,32.47,1876,64.49,4.67
SN Thakur,2355,3554,119,735,339,142,IPL,392.5,9.05,29.87,19.79,31.21,2208,62.13,4.9
JD Unadkat,2418,3541,114,757,295,158,IPL,403.0,8.79,31.06,21.21,31.31,2128,60.1,5.34
Kuldeep Yadav,2336,3189,112,684,161,176,IPL,389.3,8.19,28.47,20.86,29.28,1700,53.31,6.93
Arshdeep Singh,2167,3166,111,714,339,100,IPL,361.2,8.77,28.52,19.52,32.95,1956,61.78,4.94
CV Varun,2187,2795,111,773,193,128,IPL,364.5,7.67,25.18,19.7,35.35,1540,55.1,6.81
KH Pandya,2779,3451,107,845,227,127,IPL,463.2,7.45,32.25,25.97,30.41,1670,48.39,7.85
A Nehra,1974,2537,106,798,279,76,IPL,329.0,7.71,23.93,18.62,40.43,1572,61.96,5.56
R Vinay Kumar,2186,3041,105,763,296,100,IPL,364.3,8.35,28.96,20.82,34.9,1784,58.66,5.52
Z Khan,2276,2860,102,873,312,64,IPL,379.3,7.54,28.04,22.31,38.36,1632,57.06,6.05
DW Steyn,2282,2583,97,1019,284,55,IPL,380.3,6.79,26.63,23.53,44.65,1466,56.76,6.73
DL Chahar,2171,2890,96,871,325,92,IPL,361.8,7.99,30.1,22.61,40.12,1852,64.08,5.21
CH Morris,1801,2377,96,668,222,79,IPL,300.2,7.92,24.76,18.76,37.09,1362,57.3,5.98
I Sharma,2546,3465,96,999,391,102,IPL,424.3,8.17,36.09,26.52,39.24,2176,62.8,5.16
Avesh Khan,1840,2775,93,610,269,119,IPL,306.7,9.05,29.84,19.78,33.15,1790,64.5,4.74
