bowler,balls,runs_conceded,wickets,dot_balls,fours_conceded,sixes_conceded,format,overs,economy,bowling_average,bowling_strike_rate,dot_ball_percent,boundary_runs_conceded,boundary_percent_conceded,balls_per_boundary
IS Sodhi,2873,3836,164,881,228,187,T20I,478.8,8.01,23.39,17.52,30.66,2034,53.02,6.92
TG Southee,2879,3822,164,1060,342,148,T20I,479.8,7.97,23.3,17.55,36.82,2256,59.03,5.88
AU Rashid,3066,3834,162,1054,184,203,T20I,511.0,7.5,23.67,18.93,34.38,1954,50.97,7.92
PWH de Silva,2041,2462,153,734,145,105,T20I,340.2,7.24,16.09,13.34,35.96,1210,49.15,8.16
Ehsan Khan,2315,2406,151,1017,163,81,T20I,385.8,6.24,15.93,15.33,43.93,1138,47.3,9.49
Mustafizur Rahman,2667,3154,150,1047,270,100,T20I,444.5,7.1,21.03,17.78,39.26,1680,53.27,7.21
A Zampa,2532,3115,149,840,168,143,T20I,422.0,7.38,20.91,16.99,33.18,1530,49.12,8.14
MJ Santner,2859,3362,142,1047,200,142,T20I,476.5,7.06,23.68,20.13,36.62,1652,49.14,8.36
S Lamichhane,1735,1814,135,828,110,87,T20I,289.2,6.27,13.44,12.85,47.72,962,53.03,8.81
Rizwan Butt,1996,2247,133,864,184,80,T20I,332.7,6.75,16.89,15.01,43.29,1216,54.12,7.56
Shaheen Shah Afridi,2228,2918,132,899,295,97,T20I,371.3,7.86,22.11,16.88,40.35,1762,60.38,5.68
Shakib Al Hasan,2417,2819,131,877,177,107,T20I,402.8,7.0,21.52,18.45,36.28,1350,47.89,8.51
MR Adair,2109,2628,128,797,245,80,T20I,351.5,7.48,20.53,16.48,37.79,1460,55.56,6.49
Haris Rauf,1983,2734,126,694,247,97,T20I,330.5,8.27,21.7,15.74,35.0,1570,57.43,5.76
Arshdeep Singh,1829,2503,125,720,267,87,T20I,304.8,8.21,20.02,14.63,39.37,1590,63.52,5.17
Shahid Afridi,2410,2786,118,840,196,82,T20I,401.7,6.94,23.61,20.42,34.85,1276,45.8,8.67
Shadab Khan,2355,2907,118,804,177,128,T20I,392.5,7.41,24.64,19.96,34.14,1476,50.77,7.72
JJ Bumrah,2034,2253,118,907,218,55,T20I,339.0,6.65,19.09,17.24,44.59,1202,53.35,7.45
Ali Dawood,1660,1704,115,742,140,43,T20I,276.7,6.16,14.82,14.43,44.7,818,48.0,9.07
HH Pandya,2316,3123,114,804,248,130,T20I,386.0,8.09,27.39,20.32,34.72,1772,56.74,6.13
Virandeep Singh,1749,1569,111,786,77,50,T20I,291.5,5.38,14.14,15.76,44.94,608,38.75,13.77
CJ Jordan,2034,2881,109,639,259,106,T20I,339.0,8.5,26.43,18.66,31.42,1672,58.04,5.57
JO Holder,2097,2939,109,673,272,103,T20I,349.5,8.41,26.96,19.24,32.09,1706,58.05,5.59
Karan KC,1746,2255,108,759,218,98,T20I,291.0,7.75,20.88,16.17,43.47,1460,64.75,5.53
SL Malinga,1911,2304,108,672,206,39,T20I,318.5,7.23,21.33,17.69,35.16,1058,45.92,7.8
Junaid Siddique,1809,2259,108,688,214,66,T20I,301.5,7.49,20.92,16.75,38.03,1252,55.42,6.46
Pavandeep Singh,2049,1948,107,1002,124,77,T20I,341.5,5.7,18.21,19.15,48.9,958,49.18,10.19
R Ngarava,1848,2210,104,809,234,57,T20I,308.0,7.18,21.25,17.77,43.78,1278,57.83,6.35
H Ssenyondo,1635,1484,100,780,69,56,T20I,272.5,5.45,14.84,16.35,47.71,612,41.24,13.08
SO Ngoche,1719,1756,100,800,118,67,T20I,286.5,6.13,17.56,17.19,46.54,874,49.77,9.29
Sikandar Raza,1946,2234,98,640,119,72,T20I,324.3,6.89,22.8,19.86,32.89,908,40.64,10.19
Aizaz Khan,1696,2120,98,600,158,79,T20I,282.7,7.5,21.63,17.31,35.38,1106,52.17,7.16
Taskin Ahmed,1755,2286,98,725,217,88,T20I,292.5,7.82,23.33,17.91,41.31,1396,61.07,5.75
