player,team,matches,format,runs,balls_x,fours,sixes,outs,average,strike_rate,boundary_runs,boundary_percent,balls_per_boundary_x,balls_y,runs_conceded,wickets,dot_balls,fours_conceded,sixes_conceded,overs,economy,bowling_average,bowling_strike_rate,dot_ball_percent,boundary_runs_conceded,boundary_percent_conceded,balls_per_boundary_y,role,batting_score,bowling_score,overall_score,finisher_score
V Suryavanshi,Rajasthan Royals,23,IPL,1028.0,473.0,81.0,96.0,23.0,44.7,217.34,900.0,87.55,2.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Utility,122.326,50.0,172.32600000000002,138.401
Priyansh Arya,Punjab Kings,31,IPL,909.0,491.0,87.0,63.0,31.0,29.32,185.13,726.0,79.87,3.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Utility,101.754,50.0,151.75400000000002,119.872
Abhishek Sharma,India,49,T20I,1546.0,837.0,152.0,102.0,44.0,35.14,184.71,1220.0,78.91,3.3,167.0,240.0,7.0,45.0,16.0,10.0,27.8,8.63,34.29,23.86,26.95,124.0,51.67,6.42,Utility,103.722,15.039999999999996,118.762,119.36800000000001
Musaddiq Ahmed,Germany,18,T20I,636.0,371.0,69.0,41.0,18.0,35.33,171.43,522.0,82.08,3.37,99.0,128.0,2.0,18.0,8.0,3.0,16.5,7.76,64.0,49.5,18.18,50.0,39.06,9.0,Utility,99.12,15.636000000000005,114.756,113.66499999999999
Adil Butt,Saudi Arabia,25,T20I,878.0,518.0,88.0,58.0,22.0,39.91,169.5,700.0,79.73,3.55,517.0,687.0,31.0,227.0,81.0,17.0,86.2,7.97,22.16,16.68,43.91,426.0,62.01,5.28,Utility,99.71,31.332000000000004,131.042,111.959
KJ Stagno,Gibraltar,25,T20I,656.0,389.0,41.0,56.0,23.0,28.52,168.64,500.0,76.22,4.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Utility,94.108,50.0,144.108,110.38399999999999
PD Salt,Delhi Capitals,40,IPL,1258.0,746.0,138.0,67.0,37.0,34.0,168.63,954.0,75.83,3.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Utility,96.218,50.0,146.218,110.336
Faisal Khan,Saudi Arabia,47,T20I,1413.0,855.0,144.0,86.0,42.0,33.64,165.26,1092.0,77.28,3.72,98.0,157.0,1.0,33.0,9.0,10.0,16.3,9.63,157.0,98.0,33.67,96.0,61.15,5.16,Utility,95.016,8.983999999999996,104.0,109.07
FH Allen,New Zealand,59,T20I,1662.0,1006.0,146.0,115.0,56.0,29.68,165.21,1274.0,76.65,3.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Utility,93.286,50.0,143.286,108.83000000000001
AD Russell,Kolkata Knight Riders,139,IPL,2655.0,1626.0,187.0,223.0,90.0,29.5,163.28,2086.0,78.57,3.97,1885.0,2909.0,123.0,612.0,274.0,130.0,314.2,9.26,23.65,15.33,32.47,1876.0,64.49,4.67,All-Rounder,92.826,59.394000000000005,152.22,108.417
JP Inglis,Punjab Kings,17,IPL,544.0,328.0,58.0,28.0,14.0,38.86,165.85,400.0,73.53,3.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Utility,96.59,50.0,146.59,108.222
