player,team,matches,format,runs,balls_x,fours,sixes,outs,average,strike_rate,boundary_runs,boundary_percent,balls_per_boundary_x,balls_y,runs_conceded,wickets,dot_balls,fours_conceded,sixes_conceded,overs,economy,bowling_average,bowling_strike_rate,dot_ball_percent,boundary_runs_conceded,boundary_percent_conceded,balls_per_boundary_y,role,batting_score,bowling_score,overall_score
V Kohli,Royal Challengers Bangalore,282,IPL,9346.0,7127.0,847.0,317.0,229.0,40.81,131.14,5290.0,56.6,6.12,264.0,371.0,4.0,52.0,25.0,11.0,44.0,8.43,92.75,66.0,19.7,166.0,44.74,7.33,Batter,80.1,13.39,93.49
RG Sharma,Mumbai Indians,281,IPL,7331.0,5659.0,661.0,324.0,244.0,30.05,129.55,4588.0,62.58,5.75,349.0,462.0,15.0,88.0,29.0,14.0,58.2,7.94,30.8,23.27,25.21,200.0,43.29,8.12,Batter,76.35600000000001,21.342,97.69800000000001
MS Dhoni,Rising Pune Supergiant,277,IPL,5439.0,4101.0,375.0,264.0,139.0,39.13,132.63,3084.0,56.7,6.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Batter,80.04400000000001,50.0,130.044
RA Jadeja,Gujarat Lions,267,IPL,3526.0,2816.0,264.0,122.0,119.0,29.63,125.21,1788.0,50.71,7.3,4329.0,5525.0,180.0,1342.0,327.0,237.0,721.5,7.66,30.69,24.05,31.0,2730.0,49.41,7.68,All-Rounder,72.078,89.9,161.978
KD Karthik,Gujarat Lions,257,IPL,4843.0,3687.0,466.0,161.0,175.0,27.67,131.35,2830.0,58.43,5.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Batter,75.29400000000001,50.0,125.29400000000001
S Dhawan,Sunrisers Hyderabad,222,IPL,6769.0,5483.0,768.0,153.0,187.0,36.2,123.45,3990.0,58.95,5.95,49.0,72.0,4.0,17.0,7.0,3.0,8.2,8.78,18.0,12.25,34.69,46.0,63.89,4.9,Batter,75.65,14.638000000000002,90.28800000000001
R Ashwin,Kings XI Punjab,219,IPL,833.0,728.0,64.0,29.0,61.0,13.66,114.42,430.0,51.62,7.83,4868.0,5721.0,187.0,1606.0,334.0,221.0,811.3,7.05,30.59,26.03,32.99,2662.0,46.53,8.77,Bowler,61.556,96.148,157.704
AM Rahane,Rising Pune Supergiant,212,IPL,5367.0,4391.0,540.0,141.0,172.0,31.2,122.23,3006.0,56.01,6.45,6.0,5.0,1.0,2.0,0.0,0.0,1.0,5.0,5.0,6.0,33.33,0.0,0.0,0.0,Batter,72.574,32.066,104.64
B Kumar,Sunrisers Hyderabad,206,IPL,354.0,392.0,34.0,4.0,35.0,10.11,90.31,160.0,45.2,10.32,4769.0,6045.0,226.0,1897.0,607.0,186.0,794.8,7.61,26.75,21.1,39.78,3544.0,58.63,6.01,Bowler,49.208,110.30600000000001,159.514
RV Uthappa,Kolkata Knight Riders,205,IPL,4954.0,3927.0,481.0,182.0,175.0,28.31,126.15,3016.0,60.88,5.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Batter,73.96000000000001,50.0,123.96000000000001
