player,team,matches,format
V Kohli,Royal Challengers Bangalore,282,IPL
RG Sharma,Mumbai Indians,281,IPL
MS Dhoni,Rising Pune Supergiant,277,IPL
RA Jadeja,Gujarat Lions,267,IPL
KD Karthik,Gujarat Lions,257,IPL
S Dhawan,Sunrisers Hyderabad,222,IPL
R Ashwin,Kings XI Punjab,219,IPL
AM Rahane,Rising Pune Supergiant,212,IPL
B Kumar,Sunrisers Hyderabad,206,IPL
RV Uthappa,Kolkata Knight Riders,205,IPL
AT Rayudu,Mumbai Indians,204,IPL
SK Raina,Gujarat Lions,204,IPL
SP Narine,Kolkata Knight Riders,201,IPL
PP Chawla,Kolkata Knight Riders,192,IPL
SV Samson,Delhi Daredevils,190,IPL
KA Pollard,Mumbai Indians,189,IPL
YS Chahal,Royal Challengers Bangalore,189,IPL
DA Warner,Sunrisers Hyderabad,184,IPL
AB de Villiers,Royal Challengers Bangalore,183,IPL
MK Pandey,Kolkata Knight Riders,180,IPL
SA Yadav,Kolkata Knight Riders,179,IPL
AR Patel,Kings XI Punjab,177,IPL
YK Pathan,Kolkata Knight Riders,174,IPL
WP Saha,Kings XI Punjab,169,IPL
Harbhajan Singh,Mumbai Indians,163,IPL
HH Pandya,Mumbai Indians,162,IPL
A Mishra,Delhi Daredevils,162,IPL
KL Rahul,Kings XI Punjab,160,IPL
DJ Bravo,Chennai Super Kings,160,IPL
JJ Bumrah,Mumbai Indians,158,IPL
KH Pandya,Mumbai Indians,158,IPL
F du Plessis,Rising Pune Supergiant,154,IPL
G Gambhir,Kolkata Knight Riders,154,IPL
Rashid Khan,Sunrisers Hyderabad,153,IPL
DA Miller,Kings XI Punjab,152,IPL
UT Yadav,Kolkata Knight Riders,148,IPL
SS Iyer,Delhi Daredevils,147,IPL
SR Watson,Royal Challengers Bangalore,145,IPL
Sandeep Sharma,Kings XI Punjab,142,IPL
CH Gayle,Royal Challengers Bangalore,141,IPL
GJ Maxwell,Kings XI Punjab,141,IPL
AD Russell,Kolkata Knight Riders,139,IPL
PA Patel,Mumbai Indians,139,IPL
RR Pant,Delhi Daredevils,139,IPL
JC Buttler,Mumbai Indians,138,IPL
Ishan Kishan,Gujarat Lions,134,IPL
Shubman Gill,Kolkata Knight Riders,134,IPL
Mohammed Shami,Delhi Daredevils,132,IPL
Yuvraj Singh,Sunrisers Hyderabad,132,IPL
MA Agarwal,Rising Pune Supergiant,130,IPL
N Rana,Mumbai Indians,127,IPL
DJ Hooda,Sunrisers Hyderabad,125,IPL
Mohammed Siraj,Sunrisers Hyderabad,125,IPL
R Tewatia,Kings XI Punjab,124,IPL
TA Boult,Kolkata Knight Riders,124,IPL
MP Stoinis,Kings XI Punjab,123,IPL
HV Patel,Royal Challengers Bangalore,123,IPL
SL Malinga,Mumbai Indians,122,IPL
MM Sharma,Kings XI Punjab,120,IPL
P Kumar,Gujarat Lions,119,IPL
Q de Kock,Royal Challengers Bangalore,118,IPL
I Sharma,Kings XI Punjab,117,IPL
JD Unadkat,Rising Pune Supergiant,116,IPL
SN Thakur,Rising Pune Supergiant,114,IPL
NV Ojha,Sunrisers Hyderabad,113,IPL
Kuldeep Yadav,Kolkata Knight Riders,111,IPL
Mandeep Singh,Royal Challengers Bangalore,111,IPL
BB McCullum,Gujarat Lions,109,IPL
M Vijay,Chennai Super Kings,106,IPL
R Vinay Kumar,Mumbai Indians,104,IPL
N Pooran,Kings XI Punjab,104,IPL
V Sehwag,Delhi Daredevils,104,IPL
DL Chahar,Rising Pune Supergiant,103,IPL
IK Pathan,Gujarat Lions,103,IPL
SPD Smith,Rising Pune Supergiant,103,IPL
K Rabada,Delhi Daredevils,101,IPL
RA Tripathi,Rising Pune Supergiant,100,IPL
Z Khan,Delhi Daredevils,99,IPL
MK Tiwary,Rising Pune Supergiant,98,IPL
JH Kallis,Royal Challengers Bangalore,98,IPL
R Parag,Rajasthan Royals,97,IPL
Arshdeep Singh,Kings XI Punjab,97,IPL
STR Binny,Royal Challengers Bangalore,95,IPL
KM Jadhav,Royal Challengers Bangalore,95,IPL
R Bhatia,Rising Pune Supergiant,95,IPL
DW Steyn,Royal Challengers Bangalore,95,IPL
CV Varun,Kings XI Punjab,94,IPL
SO Hetmyer,Royal Challengers Bangalore,94,IPL
S Badrinath,Chennai Super Kings,94,IPL
PP Ojha,Deccan Chargers,92,IPL
DS Kulkarni,Gujarat Lions,92,IPL
AJ Finch,Gujarat Lions,92,IPL
S Dube,Royal Challengers Bangalore,92,IPL
Abhishek Sharma,Delhi Daredevils,92,IPL
SS Tiwary,Mumbai Indians,92,IPL
DR Smith,Gujarat Lions,91,IPL
JA Morkel,Chennai Super Kings,90,IPL
D Padikkal,Royal Challengers Bangalore,90,IPL
KV Sharma,Mumbai Indians,90,IPL
R Dravid,Royal Challengers Bangalore,89,IPL
A Nehra,Sunrisers Hyderabad,88,IPL
Ravi Bishnoi,Kings XI Punjab,86,IPL
KK Nair,Delhi Daredevils,86,IPL
RD Gaikwad,Chennai Super Kings,85,IPL
Washington Sundar,Rising Pune Supergiant,83,IPL
EJG Morgan,Kings XI Punjab,83,IPL
JP Duminy,Mumbai Indians,83,IPL
YBK Jaiswal,Rajasthan Royals,82,IPL
Avesh Khan,Royal Challengers Bangalore,82,IPL
RP Singh,Deccan Chargers,82,IPL
CH Morris,Delhi Daredevils,81,IPL
