player,team,matches,format
RG Sharma,India,153,T20I
JC Buttler,England,153,T20I
AU Rashid,England,144,T20I
Babar Azam,Pakistan,142,T20I
IS Sodhi,New Zealand,140,T20I
DA Miller,South Africa,137,T20I
HH Pandya,India,136,T20I
PR Stirling,Ireland,134,T20I
MJ Santner,New Zealand,134,T20I
GH Dockrell,Ireland,129,T20I
Mahmudullah,Bangladesh,128,T20I
GJ Maxwell,Australia,128,T20I
MD Shanaka,Sri Lanka,126,T20I
TG Southee,New Zealand,125,T20I
MJ Guptill,New Zealand,121,T20I
Shoaib Malik,Pakistan,120,T20I
Nizakat Khan,Hong Kong,118,T20I
V Kohli,India,118,T20I
Shadab Khan,Pakistan,118,T20I
Syed Aziz,Malaysia,117,T20I
Mustafizur Rahman,Bangladesh,117,T20I
A Zampa,Australia,116,T20I
R Powell,West Indies,116,T20I
Mohammad Hafeez,Pakistan,116,T20I
Fakhar Zaman,Pakistan,114,T20I
Sikandar Raza,Zimbabwe,114,T20I
Shahid Afridi,ICC World XI,114,T20I
Shakib Al Hasan,Bangladesh,113,T20I
EJG Morgan,England,113,T20I
Virandeep Singh,Malaysia,112,T20I
Liton Das,Bangladesh,111,T20I
S Muniandy,Malaysia,111,T20I
SA Yadav,India,110,T20I
Asif Ali,Pakistan,109,T20I
DA Warner,Australia,108,T20I
Q de Kock,South Africa,107,T20I
DJ Hawoe,Indonesia,107,T20I
LRPL Taylor,New Zealand,106,T20I
Ehsan Khan,Hong Kong,106,T20I
MS Chapman,New Zealand,105,T20I
N Pooran,West Indies,105,T20I
Mohammad Rizwan,Pakistan,104,T20I
AJ Finch,Australia,103,T20I
RP Burl,Zimbabwe,103,T20I
Babar Hayat,Hong Kong,103,T20I
JDS Neesham,New Zealand,102,T20I
F Banunaek,Indonesia,102,T20I
BKG Mendis,Sri Lanka,102,T20I
DJ Mitchell,New Zealand,100,T20I
Shaheen Shah Afridi,Pakistan,99,T20I
AJ Hosein,West Indies,98,T20I
KA Pollard,West Indies,98,T20I
DS Airee,Nepal,97,T20I
Aizaz Khan,Hong Kong,97,T20I
