selected_player,similar_player,similarity_score
A Ahmadhel,A Tripathi,0.9869626984734192
A Ahmadhel,S Kamate,0.9673331988356788
A Ahmadhel,OK Mohamed,0.9663818446086545
A Ahmadhel,W Uisuk,0.9656990996991098
A Ahmadhel,Rahimgul Naseri,0.9630041644783331
A Alexander,Tashi Dorji,0.9915008971959021
A Alexander,D Wabwire,0.9816356026626496
A Alexander,MGSM Fernando,0.981413670093369
A Alexander,A Mene-Ejegi,0.9799808057031605
A Alexander,Farmanullah Ghari,0.9789457611543251
A Amado,VT Thiyanesh,0.9691767659828314
A Amado,K Jaikaran,0.9630472814960356
A Amado,Guido Angeletti,0.9610712758006219
A Amado,MT Diaby,0.9513542318593505
A Amado,VF Bomnyuy,0.9500421348905652
A Amburose,W Jackson,1.0
A Amburose,S Fowler,1.0
A Amburose,C Birch,1.0
A Amburose,S Siriotis,1.0
A Amburose,Hafeez Khan,1.0
A Andrews,T Makaya,0.9965652920676686
A Andrews,Mohammad Tauqir,0.9958237860777872
A Andrews,IW Budiarta,0.986022277909934
A Andrews,GD McGrath,0.9820625160465122
A Andrews,Guillermo Aburto,0.9769648332333136
A Ashish Reddy,JDP Oram,0.989002112517078
A Ashish Reddy,JA Fitzgerald,0.9763581271016646
A Ashish Reddy,Arshad Khan,0.9682510748172989
A Ashish Reddy,E Chigumbura,0.9640084912805243
A Ashish Reddy,Sajid Liaqat,0.9602546542940191
A Ashok,S Arachchige,0.9992501096973317
A Ashok,K Subramanian,0.999095405919745
A Ashok,SM Dhakal,0.9990821725719924
A Ashok,O Gholami,0.9984825030848571
A Ashok,Ugyen Dorji,0.9984621635493368
A Ashokan,RR Powar,0.9931874694139039
A Ashokan,KJ Ferrary,0.9899319500578974
A Ashokan,JP Duminy,0.9850824897168293
A Ashokan,JV Chand,0.984906842372855
A Ashokan,MH Yardy,0.9825703480624575
A Athanaze,J Vijay,0.9868954512063391
A Athanaze,Iftekar Jaman,0.9845640529930383
A Athanaze,JN Gillespie,0.9842772426574313
A Athanaze,D Myers,0.9841202928242947
A Athanaze,J Mubarak,0.9809626779807221
A Augastin,SS Iyer,0.9805595667010522
A Augastin,LA Carseldine,0.9801592669641768
A Augastin,Ahmed Hassan,0.9793374489888815
A Augastin,Osama Mahmood,0.9780723673000522
A Augastin,SR Bhudia,0.9778557788363784
A Awasthi,B Terbish,0.997446088008982
A Awasthi,M Altankhuyag,0.9959513242895298
A Awasthi,Osman Khan,0.9955308737174609
A Awasthi,Masood Jayezeh,0.9948723308903891
A Awasthi,RR Bhatkal,0.9936821117443502
A Badoni,TM Head,0.9950158504761997
A Badoni,Waseem Muhammad,0.9942080212316314
A Badoni,Sidhant Singh,0.9923374470638104
A Badoni,AS Samra,0.9914962899648876
A Badoni,YBK Jaiswal,0.9914326144302993
A Bagai,CU Jayasinghe,0.9974505930166105
A Bagai,SMA Priyanjan,0.9943932908382265
A Bagai,M Ravula,0.9939956780927163
A Bagai,KM Venkataswamy,0.9936059286051897
A Bagai,Dipanjan Dey,0.9918523308360058
A Balbirnie,PS Athavale,0.9998828870191273
A Balbirnie,G Malla,0.9997769721482441
A Balbirnie,Ali Raza,0.999246331149708
A Balbirnie,Liton Das,0.9991865719969578
A Balbirnie,WP Saha,0.9989485262075894
A Beresford-Peirse,Hassan Mehmood,0.9868429613085071
A Beresford-Peirse,P Manning,0.9817713657281871
A Beresford-Peirse,Tanvir Islam,0.9688222690680132
A Beresford-Peirse,Vishaul Singh,0.9511518630615425
A Beresford-Peirse,J Thomas,0.9481430369203157
A Bhadauria,A Mutreja,0.9996138979261001
A Bhadauria,N Dickwella,0.9987171225624857
A Bhadauria,Shaof Hassan,0.9985308749155131
A Bhadauria,DH Yagnik,0.9980344911745018
A Bhadauria,L Yamamoto-Lake,0.9979563916312396
A Bhagwat,Mongdara Sok,0.9999579900175821
A Bhagwat,B Angeltti,0.9999579900175821
A Bhagwat,J Pook,0.9999019168224804
A Bhagwat,L Ruane,0.9998334975075435
A Bhagwat,JS Jesani,0.9998334975075435
A Bhargava,NCK Liyanage,0.9876429833221286
A Bhargava,AV Lalcheta,0.9794961532810229
A Bhargava,R Sheshadri,0.9742272105225526
A Bhargava,LA Goncalves,0.9727961423600553
A Bhargava,Azri Azhar,0.9720442467926061
A Bhattarai,H Elder,0.9875483382990587
A Bhattarai,Murat Ipek,0.9867176964064498
A Bhattarai,WT Mubayiwa,0.984811196703102
A Bhattarai,GJ Batty,0.9831384710736828
A Bhattarai,E Isaneez,0.9823487000975224
A Bishnoi,J Khadka,0.991421268133441
A Bishnoi,Shahrukh Quddus,0.9895683289874245
A Bishnoi,P Parameswaran,0.9894164123993785
A Bishnoi,S Vijayakumar,0.9888906763021427
A Bishnoi,BP Adapaka,0.9885489922913361
A Bohara,SK Trivedi,0.997473751171726
A Bohara,L Balaji,0.9936844469296294
A Bohara,M Theekshana,0.989324617023925
A Bohara,Noor Ahmad,0.9892108573143272
A Bohara,CA Young,0.9867752335473529
A Bulow,K Hardat,0.9980081422191782
A Bulow,Muhammad Naeem,0.9977031568617892
A Bulow,N Acawei,0.9971940561764243
A Bulow,Tarun Sharma,0.99717455687354
A Bulow,L Emilio,0.9967319889600458
A Bushell,JJ Wright,0.9426538000431697
A Bushell,Hayatullah Niazi,0.9346031400033739
A Bushell,GH Vihari,0.9340482360265118
A Bushell,LR Gaonkar,0.9203567520886878
A Bushell,LA Musiani,0.9065168867833278
A Busing-Volschenk,BJ Bennett,0.9914329303918483
A Busing-Volschenk,Arun Yadav,0.9911176476374296
A Busing-Volschenk,Abdul Waheed,0.9907356272714071
A Busing-Volschenk,Manpreet Singh,0.9905625950168164
A Busing-Volschenk,A Mansale,0.9894446312261789
A Chandila,Shunan Ali,0.9958761847187921
A Chandila,Dhananjay Rao,0.993031485373372
A Chandila,Imran Yousaf,0.9900339394178882
A Chandila,M Faheem,0.9882686118856401
A Chandila,PC Connell,0.9872532606150777
A Chaubey,Rafiulah Alokozai,0.9905694384581046
A Chaubey,M Manivannan,0.9891412347234559
A Chaubey,Ankit Soni,0.9849052162691648
A Chaubey,Adil Khan,0.9820787547712025
A Chaubey,R Johnson,0.9798444919868478
A Chaudhary,Azri Azhar,0.9905681880334508
A Chaudhary,E Jabarkhel,0.9882785313128465
A Chaudhary,AE Isesele,0.9782393363084001
A Chaudhary,RV Gomez,0.9772935241404291
A Chaudhary,Bukhar Illikkal,0.9756223518342904
A Chenthamara,S Nsubuga,0.9953503907076916
A Chenthamara,Lovedeep Singh,0.9947099679137645
A Chenthamara,LL Tsotsobe,0.9933622105731772
A Chenthamara,NSK Mehta,0.9922125923194944
A Chenthamara,V Mitari,0.9917612835100276
A Chopra,Muhammad Kaleem,0.9990868729852692
A Chopra,OO Bascome,0.9989857831286594
A Chopra,C Brown,0.9985770861915853
A Chopra,C Tlali,0.9974914131558008
A Chopra,Tshering Tashi,0.9970261325590106
A Choudhary,CP Schofield,0.9767146758681955
A Choudhary,Gaurav Mishra,0.9741302550725847
A Choudhary,Aditya Panwar,0.970722431229984
A Choudhary,A Mansale,0.9647634783579239
A Choudhary,Shakeel Zeb,0.9629140614837564
A Conteh,JK Kamande,0.9937773480217287
A Conteh,R Francis,0.9847382387564757
A Conteh,Aung Ko Ko,0.9626699530022413
A Conteh,Karan Singh,0.9613887223598286
A Conteh,Aziz Sualley,0.9573856080510958
A Curavic,MF Manjate,0.9985998399006424
A Curavic,B Balala,0.9919552478638543
A Curavic,JF Bangura,0.9918306162175865
A Curavic,Ebrahim Naseri,0.9871312203682615
A Curavic,NH Naureen,0.986646575819011
A Dananjaya,Jasdeep Singh,0.980668036671578
A Dananjaya,Amjad Mahboob,0.9769574282818132
A Dananjaya,M Ashwin,0.9737370149550726
A Dananjaya,KM Jarvis,0.9689671974138391
A Dananjaya,S Mahmood,0.9668162089497053
A Davidson Soler,DJ Malan,0.9975669625226564
A Davidson Soler,OB Nightingale,0.9970783300582532
A Davidson Soler,SH Venugopal,0.995517069904403
A Davidson Soler,S Sheelan,0.9934450044993512
A Davidson Soler,SG Mangela,0.9933634250364589
A Daxini,Mustapha Suwareh,0.9981737604475921
A Daxini,A Magdalenic,0.9962214211295707
A Daxini,DI Allan,0.9945905597054258
A Daxini,Farhad Reza,0.975733119401049
A Daxini,K Kekez,0.9649994975826914
A Denuwan,Ali Abdulla Popalzae,0.9966222513629124
A Denuwan,S Kruger,0.9965735771024513
A Denuwan,SS Sarkar,0.9959056708993879
A Denuwan,JM Davison,0.9950847236140213
A Denuwan,T Kamungozi,0.9947742838015831
A Desai,Aizaz Cheema,0.9980128426242086
A Desai,Dharmendra Manani,0.9977363255905356
A Desai,N Boje,0.9968515157219894
A Desai,PH Solanki,0.9967149977793281
A Desai,C Nanda,0.9966875745977326
A Dhabe,D Parashar,0.980673164581227
A Dhabe,OH Agbomadzie,0.9749034621019491
A Dhabe,DE Bollinger,0.9723050373026189
A Dhabe,SA Ahmad,0.9677290989684141
A Dhabe,J Coetzee,0.9675746101570519
A Dhar,PDRL Perera,0.9998952948670086
A Dhar,TL Chivanga,0.9996138335173993
A Dhar,KDC Clarke,0.9995553758818073
A Dhar,JA Turner,0.999278996755888
A Dhar,B Geeves,0.9991430695928533
A Dhingra,J Madan,0.9545580188068432
A Dhingra,Usama Mir,0.9543310743531096
A Dhingra,MJ Swepson,0.9399941126373933
A Dhingra,PSRK Sudarshan,0.9353437371684117
A Dhingra,JRMVB Sanjaya,0.9254979208878898
A Dizija,Abdul Gaffar Saqlain,0.9938903850880587
A Dizija,Shaheryar Butt,0.9883782175884701
A Dizija,G Venkateswaran,0.9859936930321666
A Dizija,Mohammad Ahnaff,0.982373526711812
A Dizija,RR Hendricks,0.9812291433738569
A Djorovic,Sachin Ganpat Shinde,0.9726822975137394
A Djorovic,Taher Muhammad,0.9668806819030884
A Djorovic,J Baleicikoibia,0.9433280691983752
A Djorovic,KK Tillett,0.9404259935072705
A Djorovic,Wasim Al Balushi,0.9389000322180728
A Donovan,Tilak Varma,0.9948094339078798
A Donovan,CG Williams,0.9937670161742369
A Donovan,Tamoor Sajjad,0.9931185885018814
A Donovan,Bilal Masud,0.9920918010800124
A Donovan,Basir Ahamad,0.9879956526959425
A Dowling,D Kalyankrishna,0.9966612072773818
A Dowling,Anmoldeep Singh,0.9962808697072407
A Dowling,R Patten,0.9950206632777024
A Dowling,S Elayaperumal,0.9941467318343161
A Dowling,R Brar,0.9941152531592745
A Dutt,Ashwin Vinod,0.9940605939565524
A Dutt,D Suzuki,0.9900756167893193
A Dutt,Vinay Ravi,0.9867757330779874
A Dutt,M Dale-Bradley,0.9864396280761066
A Dutt,V Zimonjic,0.9862639523787583
A Faletar,W Jackson,1.0
A Faletar,S Fowler,1.0
A Faletar,C Birch,1.0
A Faletar,S Siriotis,1.0
A Faletar,Hafeez Khan,1.0
A Ferguson,R Mupfudza,0.9992325510333854
A Ferguson,J Trembeath-Moro,0.9963077029364993
A Ferguson,I Niyomugabo,0.9944499274384768
A Ferguson,Mudassar Muhammad,0.9943392209527747
A Ferguson,HB Kayondo,0.9939969851043557
A Flintoff,AS Hansra,0.9849233601191708
A Flintoff,D Wabwire,0.9824037942487548
A Flintoff,P Murungi,0.9801801101939001
A Flintoff,Ahmed Daniyal,0.9776697606927134
A Flintoff,T Musekiwa,0.9754471931401698
A Gasteratos,Kristan Tillett,0.9999676471673131
A Gasteratos,Munthir Al Balushi,0.9998535671030255
A Gasteratos,RJ Ramjiawan,0.9998535671030255
A Gasteratos,SL Perera,0.9996882553440539
A Gasteratos,Saqlain Haider,0.9994457916788058
A Gavde,Khurram Shahzad,1.0
A Gavde,EDS Pimheiro,0.9999662857167344
A Gavde,Rizwan Mangera,0.9999587304930165
A Gavde,Mohomed Saddam,0.9999556830602968
A Gavde,C Stephenson,0.999915592488477
A Gbla,Amjad Sher,0.9924762082729396
A Gbla,Muhammad Amir,0.9898839135456601
A Gbla,K Irakoze,0.9871213328056048
A Gbla,Shakeel Ahmed,0.9870932070533164
A Gbla,D Suzuki,0.9857214030596466
A Gorawara,D Weston,0.9995999222140177
A Gorawara,Ansh Tandon,0.9975128296359238
A Gorawara,PK Ananya,0.9969911452539764
A Gorawara,Hammad Azam,0.9966776066082413
A Gorawara,M Joseph,0.9964735218795976
A Govorko,Adnan Mufti,1.0
A Govorko,Abdul Basith,1.0
A Govorko,T Misi,0.9995511298162579
A Govorko,Mihir Patel,0.9981583491246327
A Govorko,R Lekai,0.9981583491246327
A Gulati,AM Fernando,0.9887738869613067
A Gulati,S Hongsi,0.9842823830781829
A Gulati,KT Maphaka,0.982399305423815
A Gulati,VRB Arachchige,0.9816774770593527
A Gulati,A Mithun,0.9811720624051384
A Gupta,Davion Codner,0.9952289686010222
A Gupta,CAH Stevenson,0.9933301775855321
A Gupta,Salman Sharjeel,0.9855318617087957
A Gupta,KAB Hynam-Nyberg,0.9831402452763102
A Gupta,P Taylor,0.979913814353847
